 time            V("/vd1")       V("/vd2")       V("/vtemp")     V("/vload")    
 2.23280000e+00  4.99911146e+00  1.52882341e+00  7.89247200e+01  4.97553539e+00 
 2.24280000e+00  4.99911214e+00  1.52882298e+00  7.92737200e+01  4.97553539e+00 
 2.25280000e+00  4.99911146e+00  1.52882341e+00  7.96227200e+01  4.97553539e+00 
 2.26280000e+00  4.99911214e+00  1.52882298e+00  7.99717200e+01  4.97553539e+00 
 2.27280000e+00  4.99911146e+00  1.52882341e+00  8.03207200e+01  4.97553539e+00 
 2.28280000e+00  4.99911214e+00  1.52882298e+00  8.06697200e+01  4.97553539e+00 
 2.29280000e+00  4.99911146e+00  1.52882340e+00  8.10187200e+01  4.97553539e+00 
 2.30280000e+00  4.99911214e+00  1.52882298e+00  8.13677200e+01  4.97553539e+00 
 2.31280000e+00  4.99911146e+00  1.52882340e+00  8.17167200e+01  4.97553539e+00 
 2.32280000e+00  4.99911214e+00  1.52882299e+00  8.20657200e+01  4.97553539e+00 
 2.33280000e+00  4.99911146e+00  1.52882340e+00  8.24147200e+01  4.97553539e+00 
 2.34280000e+00  4.99911214e+00  1.52882299e+00  8.27637200e+01  4.97553539e+00 
 2.35280000e+00  4.99911146e+00  1.52882340e+00  8.31127200e+01  4.97553539e+00 
 2.36280000e+00  4.99911213e+00  1.52882299e+00  8.34617200e+01  4.97553539e+00 
 2.37280000e+00  4.99911146e+00  1.52882340e+00  8.38107200e+01  4.97553539e+00 
 2.38280000e+00  4.99911213e+00  1.52882299e+00  8.41597200e+01  4.97553539e+00 
 2.39280000e+00  4.99911147e+00  1.52882340e+00  8.45087200e+01  4.97553539e+00 
 2.40280000e+00  4.99911213e+00  1.52882299e+00  8.48577200e+01  4.97553539e+00 
 2.41280000e+00  4.99911147e+00  1.52882340e+00  8.52067200e+01  4.97553539e+00 
 2.42280000e+00  4.99911213e+00  1.52882299e+00  8.55557200e+01  4.97553539e+00 
 2.43280000e+00  4.99911147e+00  1.52882340e+00  8.59047200e+01  4.97553539e+00 
 2.44280000e+00  4.99911213e+00  1.52882299e+00  8.62537200e+01  4.97553539e+00 
 2.45280000e+00  4.99911147e+00  1.52882340e+00  8.66027200e+01  4.97553539e+00 
 2.46280000e+00  4.99911213e+00  1.52882299e+00  8.69517200e+01  4.97553539e+00 
 2.47280000e+00  4.99911147e+00  1.52882340e+00  8.73007200e+01  4.97553539e+00 
 2.48280000e+00  4.99911212e+00  1.52882299e+00  8.76497200e+01  4.97553539e+00 
 2.49280000e+00  4.99911147e+00  1.52882340e+00  8.79987200e+01  4.97553539e+00 
 2.50280000e+00  4.99911212e+00  1.52882299e+00  8.83477200e+01  4.97553539e+00 
 2.51280000e+00  4.99911147e+00  1.52882340e+00  8.86967200e+01  4.97553539e+00 
 2.52280000e+00  4.99911212e+00  1.52882299e+00  8.90457200e+01  4.97553539e+00 
 2.53280000e+00  4.99911147e+00  1.52882340e+00  8.93947200e+01  4.97553539e+00 
 2.54280000e+00  4.99911212e+00  1.52882299e+00  8.97437200e+01  4.97553539e+00 
 2.55280000e+00  4.99911147e+00  1.52882340e+00  9.00927200e+01  4.97553539e+00 
 2.56280000e+00  4.99911212e+00  1.52882299e+00  9.04417200e+01  4.97553539e+00 
 2.57280000e+00  4.99911147e+00  1.52882340e+00  9.07907200e+01  4.97553539e+00 
 2.58280000e+00  4.99911211e+00  1.52882299e+00  9.11397200e+01  4.97553539e+00 
 2.59280000e+00  4.99911147e+00  1.52882340e+00  9.14887200e+01  4.97553539e+00 
 2.60280000e+00  4.99911211e+00  1.52882299e+00  9.18377200e+01  4.97553539e+00 
 2.61280000e+00  4.99911147e+00  1.52882340e+00  9.21867200e+01  4.97553539e+00 
 2.62280000e+00  4.99911211e+00  1.52882299e+00  9.25357200e+01  4.97553539e+00 
 2.63280000e+00  4.99911147e+00  1.52882339e+00  9.28847200e+01  4.97553539e+00 
 2.64280000e+00  4.99911211e+00  1.52882299e+00  9.32337200e+01  4.97553539e+00 
 2.65280000e+00  4.99911147e+00  1.52882339e+00  9.35827200e+01  4.97553539e+00 
 2.66280000e+00  4.99911211e+00  1.52882300e+00  9.39317200e+01  4.97553539e+00 
 2.67280000e+00  4.99911147e+00  1.52882339e+00  9.42807200e+01  4.97553539e+00 
 2.68280000e+00  4.99911210e+00  1.52882300e+00  9.46297200e+01  4.97553539e+00 
 2.69280000e+00  4.99911147e+00  1.52882339e+00  9.49787200e+01  4.97553539e+00 
 2.70280000e+00  4.99911210e+00  1.52882300e+00  9.53277200e+01  4.97553539e+00 
 2.71280000e+00  4.99911147e+00  1.52882339e+00  9.56767200e+01  4.97553539e+00 
 2.72280000e+00  4.99911210e+00  1.52882300e+00  9.60257200e+01  4.97553539e+00 
 2.73280000e+00  4.99911146e+00  1.52882339e+00  9.63747200e+01  4.97553539e+00 
 2.74280000e+00  4.99911210e+00  1.52882300e+00  9.67237200e+01  4.97553539e+00 
 2.75280000e+00  4.99911146e+00  1.52882339e+00  9.70727200e+01  4.97553539e+00 
 2.76280000e+00  4.99911210e+00  1.52882300e+00  9.74217200e+01  4.97553539e+00 
 2.77280000e+00  4.99911146e+00  1.52882339e+00  9.77707200e+01  4.97553539e+00 
 2.78280000e+00  4.99911209e+00  1.52882300e+00  9.81197200e+01  4.97553539e+00 
 2.79280000e+00  4.99911146e+00  1.52882339e+00  9.84687200e+01  4.97553539e+00 
 2.80280000e+00  4.99911209e+00  1.52882300e+00  9.88177200e+01  4.97553539e+00 
 2.81280000e+00  4.99911146e+00  1.52882339e+00  9.91667200e+01  4.97553539e+00 
 2.82280000e+00  4.99911209e+00  1.52882300e+00  9.95157200e+01  4.97553539e+00 
 2.83280000e+00  4.99911146e+00  1.52882339e+00  9.98647200e+01  4.97553539e+00 
 2.84280000e+00  4.99911209e+00  1.52882300e+00  1.00213720e+02  4.97553539e+00 
 2.85280000e+00  4.99911146e+00  1.52882339e+00  1.00562720e+02  4.97553539e+00 
 2.86280000e+00  4.99911208e+00  1.52882300e+00  1.00911720e+02  4.97553539e+00 
