 time            V("/vd1")       V("/vd2")       V("/vcont")     V("/vload")    
 1.35280000e+00  4.99467133e+00  1.00536676e+00  4.82127200e+01  1.04802790e-10 
 1.36280000e+00  4.99467129e+00  1.00536697e+00  4.85617200e+01  3.95277582e-11 
 1.37280000e+00  4.99467133e+00  1.00536676e+00  4.89107200e+01  1.04543271e-10 
 1.38280000e+00  4.99467129e+00  1.00536697e+00  4.92597200e+01  3.98632225e-11 
 1.39280000e+00  4.99467133e+00  1.00536676e+00  4.96087200e+01  1.04236381e-10 
 1.40280000e+00  4.99467129e+00  1.00536697e+00  4.99577200e+01  4.01328110e-11 
 1.41280000e+00  4.99467133e+00  1.00536676e+00  5.03067200e+01  1.03975916e-10 
 1.42280000e+00  4.99467129e+00  1.00536697e+00  5.06557200e+01  4.03273883e-11 
 1.43280000e+00  4.99467133e+00  1.00536676e+00  5.10047200e+01  1.03794357e-10 
 1.44280000e+00  4.99467129e+00  1.00536697e+00  5.13537200e+01  4.06220676e-11 
 1.45280000e+00  4.99467133e+00  1.00536676e+00  5.17027200e+01  1.03443641e-10 
 1.46280000e+00  4.99467129e+00  1.00536697e+00  5.20517200e+01  4.09017300e-11 
 1.47280000e+00  4.99467132e+00  1.00536676e+00  5.24007200e+01  1.03186952e-10 
 1.48280000e+00  4.99467129e+00  1.00536697e+00  5.27497200e+01  4.11945280e-11 
 1.49280000e+00  4.99467133e+00  1.00536676e+00  5.30987200e+01  1.02989694e-10 
 1.50280000e+00  4.99467129e+00  1.00536697e+00  5.34477200e+01  4.12813781e-11 
 1.51280000e+00  4.99467132e+00  1.00536676e+00  5.37967200e+01  1.02803606e-10 
 1.52280000e+00  4.99467129e+00  1.00536697e+00  5.41457200e+01  4.15742496e-11 
 1.53280000e+00  4.99467132e+00  1.00536676e+00  5.44947200e+01  1.02516963e-10 
 1.54280000e+00  4.99467129e+00  1.00536697e+00  5.48437200e+01  4.18586559e-11 
 1.55280000e+00  4.99467132e+00  1.00536676e+00  5.51927200e+01  1.02244974e-10 
 1.56280000e+00  4.99467129e+00  1.00536697e+00  5.55417200e+01  4.20640794e-11 
 1.57280000e+00  4.99467132e+00  1.00536676e+00  5.58907200e+01  1.02136368e-10 
 1.58280000e+00  4.99467129e+00  1.00536697e+00  5.62397200e+01  4.21615908e-11 
 1.59280000e+00  4.99467132e+00  1.00536676e+00  5.65887200e+01  1.01988458e-10 
 1.60280000e+00  4.99467129e+00  1.00536697e+00  5.69377200e+01  4.23762369e-11 
 1.61280000e+00  4.99467132e+00  1.00536676e+00  5.72867200e+01  1.01678967e-10 
 1.62280000e+00  4.99467129e+00  1.00536697e+00  5.76357200e+01  4.26986433e-11 
 1.63280000e+00  4.99467132e+00  1.00536676e+00  5.79847200e+01  1.01417103e-10 
 1.64280000e+00  4.99467129e+00  1.00536697e+00  5.83337200e+01  4.29114213e-11 
 1.65280000e+00  4.99467132e+00  1.00536676e+00  5.86827200e+01  1.01179440e-10 
 1.66280000e+00  4.99467128e+00  1.00536697e+00  5.90317200e+01  4.31762421e-11 
 1.67280000e+00  4.99467132e+00  1.00536676e+00  5.93807200e+01  1.00979554e-10 
 1.68280000e+00  4.99467129e+00  1.00536697e+00  5.97297200e+01  4.33573380e-11 
 1.69280000e+00  4.99467132e+00  1.00536676e+00  6.00787200e+01  1.00828856e-10 
 1.70280000e+00  4.99467128e+00  1.00536697e+00  6.04277200e+01  4.34284348e-11 
 1.71280000e+00  4.99467132e+00  1.00536676e+00  6.07767200e+01  1.00726897e-10 
 1.72280000e+00  4.99467128e+00  1.00536697e+00  6.11257200e+01  4.35581608e-11 
 1.73280000e+00  4.99467132e+00  1.00536676e+00  6.14747200e+01  1.00639588e-10 
 1.74280000e+00  4.99467129e+00  1.00536697e+00  6.18237200e+01  4.36863842e-11 
 1.75280000e+00  4.99467132e+00  1.00536677e+00  6.21727200e+01  1.00417788e-10 
 1.76280000e+00  4.99467129e+00  1.00536697e+00  6.25217200e+01  4.39420553e-11 
 1.77280000e+00  4.99467132e+00  1.00536677e+00  6.28707200e+01  1.00173100e-10 
 1.78280000e+00  4.99467128e+00  1.00536697e+00  6.32197200e+01  4.41190775e-11 
 1.79280000e+00  4.99467132e+00  1.00536677e+00  6.35687200e+01  1.00009519e-10 
 1.80280000e+00  4.99467128e+00  1.00536697e+00  6.39177200e+01  4.43167070e-11 
 1.81280000e+00  4.99467132e+00  1.00536677e+00  6.42667200e+01  9.98774121e-11 
 1.82280000e+00  4.99467128e+00  1.00536697e+00  6.46157200e+01  4.44498441e-11 
 1.83280000e+00  4.99467132e+00  1.00536677e+00  6.49647200e+01  9.96542786e-11 
 1.84280000e+00  4.99467128e+00  1.00536697e+00  6.53137200e+01  4.47095796e-11 
 1.85280000e+00  4.99467132e+00  1.00536677e+00  6.56627200e+01  9.94104534e-11 
 1.86280000e+00  4.99467128e+00  1.00536697e+00  6.60117200e+01  4.48952026e-11 
 1.87280000e+00  4.99467132e+00  1.00536677e+00  6.63607200e+01  9.91816507e-11 
 1.88280000e+00  4.99467128e+00  1.00536697e+00  6.67097200e+01  4.51858453e-11 
 1.89280000e+00  4.99467132e+00  1.00536677e+00  6.70587200e+01  9.89559728e-11 
 1.90280000e+00  4.99467128e+00  1.00536697e+00  6.74077200e+01  4.53886452e-11 
 1.91280000e+00  4.99467132e+00  1.00536677e+00  6.77567200e+01  9.87873521e-11 
 1.92280000e+00  4.99467128e+00  1.00536697e+00  6.81057200e+01  4.54737451e-11 
 1.93280000e+00  4.99467132e+00  1.00536677e+00  6.84547200e+01  9.86630710e-11 
 1.94280000e+00  4.99467128e+00  1.00536697e+00  6.88037200e+01  4.56864536e-11 
 1.95280000e+00  4.99467132e+00  1.00536677e+00  6.91527200e+01  9.84828902e-11 
 1.96280000e+00  4.99467128e+00  1.00536697e+00  6.95017200e+01  4.58601076e-11 
 1.97280000e+00  4.99467132e+00  1.00536677e+00  6.98507200e+01  9.81353203e-11 
 1.98280000e+00  4.99467128e+00  1.00536697e+00  7.01997200e+01  4.62014377e-11 
 1.99280000e+00  4.99467132e+00  1.00536677e+00  7.05487200e+01  9.79719214e-11 
 2.00280000e+00  4.99467128e+00  1.00536697e+00  7.08977200e+01  4.63491578e-11 
 2.01280000e+00  4.99467132e+00  1.00536677e+00  7.12467200e+01  9.77831368e-11 
 2.02280000e+00  4.99467128e+00  1.00536697e+00  7.15957200e+01  4.65296639e-11 
 2.03280000e+00  4.99467132e+00  1.00536677e+00  7.19447200e+01  9.76630892e-11 
 2.04280000e+00  4.99467128e+00  1.00536697e+00  7.22937200e+01  4.66383450e-11 
 2.05280000e+00  4.99467132e+00  1.00536677e+00  7.26427200e+01  9.75048020e-11 
 2.06280000e+00  4.99467128e+00  1.00536697e+00  7.29917200e+01  4.68586612e-11 
 2.07280000e+00  4.99467131e+00  1.00536677e+00  7.33407200e+01  9.71933172e-11 
 2.08280000e+00  4.99467128e+00  1.00536697e+00  7.36897200e+01  4.71800916e-11 
 2.09280000e+00  4.99467132e+00  1.00536677e+00  7.40387200e+01  9.70018112e-11 
 2.10280000e+00  4.99467128e+00  1.00536697e+00  7.43877200e+01  4.72526758e-11 
 2.11280000e+00  4.99467132e+00  1.00536677e+00  7.47367200e+01  9.68920877e-11 
 2.12280000e+00  4.99467128e+00  1.00536697e+00  7.50857200e+01  4.74532099e-11 
 2.13280000e+00  4.99467131e+00  1.00536677e+00  7.54347200e+01  9.66514393e-11 
 2.14280000e+00  4.99467128e+00  1.00536697e+00  7.57837200e+01  4.77592745e-11 
 2.15280000e+00  4.99467131e+00  1.00536677e+00  7.61327200e+01  9.62732416e-11 
 2.16280000e+00  4.99467128e+00  1.00536697e+00  7.64817200e+01  4.80952917e-11 
 2.17280000e+00  4.99467131e+00  1.00536677e+00  7.68307200e+01  9.60455509e-11 
 2.18280000e+00  4.99467128e+00  1.00536697e+00  7.71797200e+01  4.82230155e-11 
 2.19280000e+00  4.99467131e+00  1.00536677e+00  7.75287200e+01  9.59296133e-11 
 2.20280000e+00  4.99467128e+00  1.00536697e+00  7.78777200e+01  4.84599669e-11 
 2.21280000e+00  4.99467131e+00  1.00536677e+00  7.82267200e+01  9.56453355e-11 
 2.22280000e+00  4.99467128e+00  1.00536697e+00  7.85757200e+01  4.86206837e-11 
 2.23280000e+00  4.99467131e+00  1.00536677e+00  7.89247200e+01  9.55358033e-11 
 2.24280000e+00  4.99467128e+00  1.00536697e+00  7.92737200e+01  4.88529696e-11 
 2.25280000e+00  4.99467131e+00  1.00536677e+00  7.96227200e+01  9.52603670e-11 
 2.26280000e+00  4.99467128e+00  1.00536697e+00  7.99717200e+01  4.90204194e-11 
 2.27280000e+00  4.99467131e+00  1.00536677e+00  8.03207200e+01  9.51720012e-11 
 2.28280000e+00  4.99467128e+00  1.00536697e+00  8.06697200e+01  4.91363185e-11 
 2.29280000e+00  4.99467131e+00  1.00536677e+00  8.10187200e+01  9.49479315e-11 
 2.30280000e+00  4.99467128e+00  1.00536697e+00  8.13677200e+01  4.94342071e-11 
 2.31280000e+00  4.99467131e+00  1.00536677e+00  8.17167200e+01  9.46787063e-11 
 2.32280000e+00  4.99467127e+00  1.00536697e+00  8.20657200e+01  4.95876433e-11 
 2.33280000e+00  4.99467131e+00  1.00536677e+00  8.24147200e+01  9.45837072e-11 
 2.34280000e+00  4.99467127e+00  1.00536697e+00  8.27637200e+01  4.97461350e-11 
 2.35280000e+00  4.99467131e+00  1.00536677e+00  8.31127200e+01  9.43285984e-11 
 2.36280000e+00  4.99467127e+00  1.00536697e+00  8.34617200e+01  5.00108640e-11 
 2.37280000e+00  4.99467131e+00  1.00536677e+00  8.38107200e+01  9.41032015e-11 
 2.38280000e+00  4.99467127e+00  1.00536697e+00  8.41597200e+01  5.02329615e-11 
 2.39280000e+00  4.99467131e+00  1.00536677e+00  8.45087200e+01  9.38822197e-11 
 2.40280000e+00  4.99467127e+00  1.00536697e+00  8.48577200e+01  5.05188141e-11 
 2.41280000e+00  4.99467131e+00  1.00536677e+00  8.52067200e+01  9.36008655e-11 
 2.42280000e+00  4.99467127e+00  1.00536697e+00  8.55557200e+01  5.07150852e-11 
 2.43280000e+00  4.99467131e+00  1.00536677e+00  8.59047200e+01  9.33939943e-11 
 2.44280000e+00  4.99467127e+00  1.00536697e+00  8.62537200e+01  5.08829942e-11 
 2.45280000e+00  4.99467131e+00  1.00536677e+00  8.66027200e+01  9.32955644e-11 
 2.46280000e+00  4.99467127e+00  1.00536697e+00  8.69517200e+01  5.10732301e-11 
 2.47280000e+00  4.99467131e+00  1.00536677e+00  8.73007200e+01  9.29904008e-11 
 2.48280000e+00  4.99467127e+00  1.00536697e+00  8.76497200e+01  5.13405122e-11 
 2.49280000e+00  4.99467131e+00  1.00536677e+00  8.79987200e+01  9.28215269e-11 
 2.50280000e+00  4.99467127e+00  1.00536697e+00  8.83477200e+01  5.14806890e-11 
